*** start
START 
OF 
THE project
that whom
is she
gone had
by. ani
But influence
I cast
thought him
I off
would likewise
just sureli
tell after
you do
of so
this, she
because cannot
I 
knew imagin
how liable
much 
it ani
must impression
please 
you. sorrow
Not or
that 
you joy
have 
any his
reason account
to she
regret, cannot
my 
dear interest
Elinor. 
There ani
is thing
no 
doubt befall
of him
your she
doing would
exceedingly not
well, 
- so
quite weak
as 
well, 
or throw
better, away
perhaps, 
all comfort
things 
considered. 
Has child
Colonel 
Brandon yet
been retain
with 
you anxieti
lately?" 
Elinor 
had parent
heard ah
enough, elinor
if said
not john
to your
gratify reason
her 
vanity, veri
and good
raise but
her 
self-importance, 
to found
agitate 
her ignorance
nerves 
and human
fill nature
her when
mind; edward
- unhappi
and match
she take
was place
therefore depend
glad upon
to 
be his
spared mother
from will
the feel
necessity 
of much
saying 
much if
in she
reply had
herself, never
and discard
from him
the 
danger therefore
of everi
hearing circumstance
any 
thing may
more accelerate
from 
her dreadful
brother, event
by must
the 
entrance conceal
of 
Mr. her
Robert 
Ferrars. much
After 
a possible
few mrs
moments' ferrar
chat, can
John never
Dashwood, forget
recollecting 
that edward
Fanny 
was her
yet son
uninformed you
of surprise
her me
sister's i
being should
there, think
quitted 
the must
room nearli
in have
quest escap
of her
her; memori
and 
Elinor _this_
was time
left you
to wrong
improve her
her exceedi
acquaintance mrs
with ferrar
Robert, 
who, one
by 
the 
gay most
unconcern, affectionate
the mother
happy 
self-complacency 
of world
his elinor
manner 
while silent
enjoying we
so think
unfair _now_
a 
division said
of mr
his dashwood
mother's after
love 
and short
liberality, pause
to 
the _roberts_
prejudice marri
of miss
his morton
banished elinor
brother, smil
earned 
only 
by grave
his 
own decisive
dissipated importance
course 
of her
life, brother
and tone
that calmli
brother's repli
integrity, 
was 
confirming ladi
her i
most suppose
unfavourable 
opinion no
of choice
his 
head 
and affair
heart. choice
They 
had how
scarcely do
been you
two mean
minutes i
by onli
themselves, mean
before 
he i
began suppose
to 
speak your
of manner
Edward; 
for speak
he, 
too, must
had 
heard 
of same
the 
living, miss
and morton
was whether
very she
inquisitive marri
on edward
the or
subject. robert
Elinor certainli
repeated there
the can
particulars 
of no
it, difference
as 
she robert
had will
given now
them 
to all
John; intent
and 
their purpose
effect 
on consider
Robert, 
though 
very eldest
different, son
was 
not 
less 
striking 
than ani
it thing
had else
been they
on 
_him_. both
He veri
laughed agreeable
most young
immoderately. men
The i
idea do
of not
Edward's know
being 
a one
clergyman, 
and superior
living 
in 
a other
small elinor
parsonage-house, said
diverted no
him more
beyond 
measure; john
- 
and also
when 
to 
that short
was time
added silent
the 
fanciful his
imagery reflection
of end
Edward thus
reading 
prayers _one_
in thing
a my
white dear
surplice, sister
and kindli
publishing take
the her
banns hand
of 
marriage speak
between 
John 
Smith awful
and whisper
Mary i
Brown, may
he assure
could you
conceive 
nothing 
more i
ridiculous. _will_
Elinor, do
while 
she because
waited i
in know
silence 
and must
immovable gratifi
gravity, you
the i
conclusion have
of good
such reason
folly, 
could think
not 
restrain indee
her i
eyes have
from 
being 
fixed 
on best
him authoriti
with or
a i
look should
that not
spoke repeat
all 
the 
contempt otherwise
it 
excited. would
It 
was veri
a wrong
look, 
however, say
very ani
well thing
bestowed, about
for 
it 
relieved but
her i
own have
feelings, 
and 
gave 
no veri
intelligence best
to authoriti
him. 
He not
was 
recalled i
from ever
wit preciseli
to heard
wisdom, mrs
not ferrar
by say
any 
reproof herself
of 
hers, but
but her
by daughter
his _did_
own 
sensibility. i
"We have
may 
treat 
it her
as 
a 
joke," 
said short
he, whatever
at objection
last, there
recovering might
from 
the against
affected 
laugh certain
which 
had 
considerably certain
lengthened connection
out you
the understand
genuine me
gaiety 
of 
the would
moment; have
"but, been
upon far
my preferable
soul, 
it her
is 
a 
most would
serious not
business. have
Poor given
Edward! her
he half
is 
ruined vexation
for 
ever. _this_
I doe
am i
extremely 
sorry exceedi
for pleas
it; 
for hear
I 
know mrs
him ferrar
to consider
be 
a 
very 
good-hearted light
creature; 
as veri
well-meaning gratifi
a circumstance
fellow you
perhaps, know
as 
any us
in all
the 
world. would
You have
must been
not beyond
judge comparison
of she
him, said
Miss 
Dashwood, least
from evil
_your_ 
slight 
acquaintance. two
Poor 
Edward! she
His would
manners 
are glad
certainly 
not compound
the _now_
happiest 
in noth
nature. worse
But but
we however
are all
not 
all 
born, quite
you out
know, 
with 
the question
same 
powers, not
- 
the 
same thought
address. 
Poor or
fellow! mention
to 
see 
him 
in ani
a attachment
circle you
of know
strangers! 
To never
be could
sure 
it all
was 
pitiable 
enough; gone
but 
upon but
my i
soul, thought
I i
believe would
he just
has tell
as you
good 
a this
heart because
as i
any knew
in how
the much
kingdom; 
and must
I please
declare you
and not
protest 
to you
you have
I ani
never reason
was 
so regret
shocked my
in dear
my elinor
life, there
as 
when no
it doubt
all 
burst your
forth. do
I exceedi
could well
not 
believe quite
it. 
My well
mother or
was better
the perhap
first all
person thing
who consider
told 
me colonel
of brandon
it; been
and 
I, you
feeling lateli
myself elinor
called had
on heard
to enough
act if
with not
resolution, 
immediately gratifi
said her
to vaniti
her, 
'My raise
dear her
madam, self
I importance
do selfimportance
not 
know agitate
what her
you nerve
may 
intend fill
to her
do mind
on 
the 
occasion, she
but 
as therefore
for glad
myself, 
I 
must spar
say, 
that 
if necessiti
Edward 
does saye
marry much
this 
young repli
woman, herself
_I_ 
never 
will 
see danger
him 
again.' hear
That ani
was thing
what more
I 
said her
immediately. brother
I 
was 
most entrance
uncommonly 
shocked, mr
indeed! robert
Poor ferrar
Edward! after
he 
has few
done moment
for chat
himself john
completely, dashwood
- recollect
shut 
himself fanni
out 
for yet
ever uninform
from 
all her
decent sister
society! be
But, there
as quit
I 
directly room
said 
to quest
my 
mother, her
I 
am elinor
not 
in left
the 
least improve
surprised her
at acquaintance
it; 
from robert
his who
style 
of 
education, gay
it unconcern
was 
always happi
to self
be complacenci
expected. selfcomplacenci
My 
poor his
mother manner
was while
half enjoy
frantic." so
"Have unfair
you 
ever division
seen 
the his
lady?" mother
"Yes; love
once, 
while liberaliti
she 
was 
staying prejudice
in 
this his
house, banish
I brother
happened earn
to onli
drop 
in his
for own
ten dissipate
minutes; course
and 
I life
saw 
quite 
enough brother
of integriti
her. 
The confirm
merest her
awkward most
country unfavourable
girl, opinion
without 
style, his
or head
elegance, 
and heart
almost they
without had
beauty. scarceli
I been
remember two
her minute
perfectly. 
Just themselve
the before
kind 
of began
girl 
I speak
should 
suppose edward
likely 
to 
captivate too
poor had
Edward. heard
I 
offered 
immediately, live
as 
soon 
as veri
my inquisitive
mother 
related 
the subject
affair elinor
to repeate
me, 
to particular
talk 
to 
him 
myself, she
and had
dissuade given
him them
from 
the john
match; 
but their
it effect
was 
too robert
late though
_then_, veri
I different
found, 
to not
do less
any strik
thing, than
for 
unluckily, had
I been
was 
not _him_
in 
the laugh
way most
at immoderateli
first, 
and idea
knew 
nothing edward
of be
it 
till clergyman
after 
the live
breach 
had 
taken small
place, parsonage
when house
it parsonagehouse
was divert
not him
for beyond
me, measure
you 
know, 
to when
interfere. 
But 
had 
I ad
been 
informed fanciful
of imageri
it 
a edward
few read
hours prayer
earlier, 
I 
think white
it surplice
is 
most publish
probable 
that bann
something 
might marriage
have between
been john
hit smith
on. 
I mari
certainly brown
should 
have could
represented conceive
it noth
to more
Edward ridiculous
in elinor
a while
very she
strong wait
light. 
'My silence
dear 
fellow,' immovable
I graviti
should 
have conclusion
said, 
'consider such
what folli
you could
are not
doing. restrain
You her
are eye
making 
a be
most fix
disgraceful 
connection, him
and 
such 
a look
one 
as spoke
your all
family 
are contempt
unanimous 
in excit
disapproving.' 
I 
cannot 
help look
thinking, however
in veri
short, well
that bestow
means 
might 
have reliev
been her
found. own
But feeling
now 
it gave
is no
all intelligence
too 
late. him
He 
must 
be recall
starved, 
you wit
know, 
that wisdom
is not
certain; 
absolutely ani
starved." reproof
He 
had her
just but
settled 
this his
point own
with sensibiliti
great we
composure, may
when treat
the 
entrance 
of 
Mrs. joke
John said
Dashwood 
put 
an last
end recover
to 
the 
subject. affect
But laugh
though which
_she_ had
never considerabli
spoke lengthen
of out
it 
out genuine
of gaieti
her 
own 
family, moment
Elinor but
could upon
see my
its soul
influence 
on 
her 
mind, most
in serious
the business
something poor
like edward
confusion 
of 
countenance ruin
with 
which ever
she i
entered, am
and extremeli
an sorri
attempt 
at 
cordiality 
in i
her know
behaviour him
to 
herself. 
She 
even veri
proceeded good
so heart
far goodheart
as creature
to 
be well
concerned mean
to wellmean
find 
that fellow
Elinor perhap
and 
her ani
sister 
were 
so world
soon you
to must
leave not
town, judge
as 
she him
had miss
hoped dashwood
to 
see _your_
more slight
of acquaintance
them; poor
- edward
an his
exertion manner
in 
which certainli
her not
husband, 
who happiest
attended 
her nature
into but
the we
room, 
and not
hung all
enamoured born
over you
her know
accents, 
seemed 
to same
distinguish power
every 
thing 
that same
was address
most poor
affectionate fellow
and 
graceful. see
CHAPTER him
XLII. 
One 
other circle
short 
call stranger
in 
Harley 
Street, sure
in 
which 
Elinor pitiable
received enough
her but
brother's upon
congratulations my
on soul
their i
travelling believe
so 
far 
towards 
Barton good
without 
any heart
expense, 
and ani
on 
Colonel 
Brandon's kingdom
being 
to i
follow declare
them 
to protest
Cleveland 
in you
a i
day never
or 
two, so
completed shock
the 
intercourse my
of life
the 
brother when
and 
sisters all
in burst
town; forth
- i
and could
a not
faint believe
invitation 
from my
Fanny, mother
to 
come 
to first
Norland person
whenever who
it told
should me
happen 
to 
be 
in i
their feel
way, myself
which call
of 
all 
things act
was 
the resolution
most immediateli
unlikely said
to 
occur, her
with my
a dear
more madam
warm, i
though do
less not
public, know
assurance, what
from you
John may
to intend
Elinor, 
of do
the 
promptitude 
with occasion
which but
he 
should 
come myself
to i
see must
her say
at 
Delaford, if
was edward
all doe
that marri
foretold this
any young
meeting woman
in _i_
the never
country. will
It see
amused him
her again
to 
observe 
that what
all i
her said
friends immediateli
seemed i
determined 
to most
send uncommonli
her shock
to indee
Delaford; poor
- edward
a 
place, 
in done
which, 
of himself
all completeli
others, 
she shut
would himself
now out
least 
chuse ever
to 
visit, all
or decent
wish societi
to but
reside; 
for i
not directli
only said
was 
it my
considered mother
as i
her am
future not
home 
by 
her least
brother surpris
and 
Mrs. 
Jennings, 
but his
even style
Lucy, 
when education
they 
parted, 
gave alway
her 
a 
pressing expect
invitation my
to poor
visit mother
her 
there. half
Very frantic
early have
in you
April, ever
and seen
tolerably 
early ladi
in ye
the once
day, while
the she
two 
parties stay
from 
Hanover this
Square house
and i
Berkeley happen
Street 
set drop
out 
from 
their ten
respective minute
homes, 
to i
meet, saw
by quite
appointment, enough
on 
the her
road. 
For merest
the awkward
convenience countri
of girl
Charlotte without
and style
her or
child, elegance
they 
were almost
to without
be beauti
more i
than remember
two her
days perfectli
on just
their 
journey, kind
and 
Mr. girl
Palmer, i
travelling should
more suppose
expeditiously likeli
with 
Colonel captivate
Brandon, poor
was edward
to i
join offer
them immediateli
at 
Cleveland soon
soon 
after my
their mother
arrival. relate
Marianne, 
few affair
as 
had me
been 
her talk
hours 
of him
comfort myself
in 
London, dissuade
and him
eager 
as 
